id;supplier_name;supplier_group;safety_passed;initiator;approver;evaluation_date;stability_score;stability_remarks;sustainability_score;sustainability_remarks;final_score;pass;created_at;status;rejection_reason;stability_details;sustainability_details;business_number
2c378c45-d11b-4413-8101-2eeb86d491f3;(주)비에스루브;B;true;이봉균;양혁;2025-11-11;10.00;;86.00;;96.00;true;2025-11-11 08:01:18.969881+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":86,""items"":{""claimFrequency"":3,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":95}";6178195508
a05ae912-4c3f-4ca7-b00e-56a1f089412d;고려제강(주)부산;B;true;이동희;양혁;2025-11-11;10.00;;83.00;Wire rope의 납기 관리 및 수시연락을 통한 필요수량을 사전 확보하여 적기에 자재의 원활한 납품이 잘 이루어지고 있음.;93.00;true;2025-11-11 05:32:16.743104+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":83,""items"":{""claimFrequency"":4,""contractSupport"":3,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":3},""totalScore"":92.5}";6058502760
0d8347ea-21e2-41f6-8080-22a6d7e4a25b;주식회사 길우;B;true;이봉균;양혁;2025-11-11;5.00;;88.00;;93.00;true;2025-11-11 08:49:28.733749+00;approved;;"{""conversion"":5,""debt"":1,""equity"":2,""expertise"":5,""liquidity"":1,""totalScore"":45}";"{""conversion"":88,""items"":{""claimFrequency"":3,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":97.5}";1048115537
dac60c7a-776a-4589-a799-7651b58834af;주식회사 에스엔피코리아;B;true;이봉균;양혁;2025-11-11;10.00;;88.00;;98.00;true;2025-11-11 08:50:37.467043+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":88,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":97.5}";6028145137
225b945e-0127-4b5e-a33d-d7518a402661;클라크지게차부산(주);B;true;이봉균;양혁;2025-11-11;6.00;;90.00;;96.00;true;2025-11-11 08:51:43.039194+00;approved;;"{""conversion"":6,""debt"":1,""equity"":5,""expertise"":5,""liquidity"":1,""totalScore"":60}";"{""conversion"":90,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":100}";6068632323
3e77126d-0886-4dbb-bd1c-dc29e9071229;신전사;B;true;이봉균;양혁;2025-11-11;10.00;;86.00;;96.00;true;2025-11-11 08:40:03.08509+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":86,""items"":{""claimFrequency"":4,""contractSupport"":4,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":3},""totalScore"":95}";6051918476
9ec1099a-ce00-4db5-ba1b-774e9aca06ed;세연기공;B;true;이동희;양혁;2025-11-11;10.00;;86.00;Over Height Spreader 수리/개조 작업을 잘 수행하고, 납기의 지연 없이 원활하게 잘 이루어짐;96.00;true;2025-11-11 23:54:24.849+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":86,""items"":{""claimFrequency"":4,""contractSupport"":3,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":5,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":95}";6210838712
0bb4edca-807b-456e-b389-453a5fa8850e;(주)피엔피엔지니어링;E;true;이동희;양혁;2025-11-12;5.00;;85.00;Wire Rope 교체 단가 계약업체로, 최근 추가 인원 증원하여 적기에 Wire Rope 교체 작업을 원활히 진행;90.00;true;2025-11-12 02:09:58.732602+00;approved;;"{""conversion"":5,""debt"":1,""equity"":3,""expertise"":5,""liquidity"":1,""totalScore"":50}";"{""conversion"":85,""items"":{""adequatePersonnel"":4,""contractSupport"":5,""damagePrevention"":5,""directiveCompliance"":5,""emergencyResponse"":5,""performanceAmount"":5,""performanceCount"":5,""regulationCompliance"":5,""safetyService"":5,""serviceQuality"":4,""turnoverRate"":4},""totalScore"":94}";6178184490
a0d1305d-906d-40d2-bd69-25af873334de;한미테크윈주식회사;B;true;이동희;양혁;2025-11-12;9.00;;85.00;BCT와 STS 주요 부품(STS Hoist Coupling) 국산화 진행;94.00;true;2025-11-12 02:14:22.97102+00;approved;;"{""conversion"":9,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":2,""totalScore"":85}";"{""conversion"":85,""items"":{""claimFrequency"":4,""contractSupport"":3,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":5,""performanceCount"":4,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":94}";1138102642
94f67fc5-7084-45ff-ae1e-91d92d4010a2;(주)동명베아링;B;true;이동희;양혁;2025-11-12;8.00;;86.00;Bearing 자재 위주의 견적 및 납품을 신속히 잘 진행;94.00;true;2025-11-12 02:15:50.594592+00;approved;;"{""conversion"":8,""debt"":5,""equity"":1,""expertise"":5,""liquidity"":5,""totalScore"":80}";"{""conversion"":86,""items"":{""claimFrequency"":4,""contractSupport"":3,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":3,""performanceCount"":5,""qualityMgmt"":4,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":95.5}";6058110092
6b1e6e10-d7fb-4c4c-a82b-93c80e70bd90;세창와이어;B;true;이동희;양혁;2025-11-11;10.00;;81.00;제품의 납기가 원활히 잘 이루어짐;91.00;true;2025-11-11 23:41:05.056888+00;approved;;"{""conversion"":10,""debt"":5,""equity"":5,""expertise"":5,""liquidity"":5,""totalScore"":100}";"{""conversion"":81,""items"":{""claimFrequency"":4,""contractSupport"":3,""damagePrevention"":4,""deliveryMgmt"":4,""performanceAmount"":3,""performanceCount"":2,""qualityMgmt"":3,""quotationDelay"":4,""regulationCompliance"":4,""specResponse"":4,""urgentResponse"":4},""totalScore"":90}";6171151259
